Constructor,year,engine,constructorId,name,constructorRef
ferrari,1996,ferrari,6,ferrari,ferrari
benetton-renault,1996,renault,22,benetton,benetton
williams-renault,1996,renault,3,williams,williams
mclaren-mercedes,1996,mercedes,1,mclaren,mclaren
ligier-mugen-honda,1996,mugen,27,ligier,ligier
jordan-peugeot,1996,peugeot,17,jordan,jordan
sauber-ford,1996,ford,15,sauber,sauber
footwork-hart,1996,hart,29,footwork,footwork
tyrrell-yamaha,1996,yamaha,25,tyrrell,tyrrell
minardi-ford,1996,ford,18,minardi,minardi
forti-ford,1996,ford,28,forti,forti
arrows-yamaha,1997,yamaha,21,arrows,arrows
williams-renault,1997,renault,3,williams,williams
ferrari,1997,ferrari,6,ferrari,ferrari
benetton-renault,1997,renault,22,benetton,benetton
mclaren-mercedes,1997,mercedes,1,mclaren,mclaren
jordan-peugeot,1997,peugeot,17,jordan,jordan
prost-mugen-honda,1997,mugen,20,prost,prost
sauber-petronas,1997,petronas,15,sauber,sauber
tyrrell-ford,1997,ford,25,tyrrell,tyrrell
minardi-hart,1997,hart,18,minardi,minardi
stewart-ford,1997,ford,24,stewart,stewart
lola-ford,1997,ford,26,lola,lola
williams-mecachrome,1998,mecachrome,3,williams,williams
ferrari,1998,ferrari,6,ferrari,ferrari
benetton-playlife,1998,playlife,22,benetton,benetton
mclaren-mercedes,1998,mercedes,1,mclaren,mclaren
jordan-mugen-honda,1998,mugen,17,jordan,jordan
prost-peugeot,1998,peugeot,20,prost,prost
sauber-petronas,1998,petronas,15,sauber,sauber
arrows,1998,arrows,21,arrows,arrows
stewart-ford,1998,ford,24,stewart,stewart
tyrrell-ford,1998,ford,25,tyrrell,tyrrell
minardi-ford,1998,ford,18,minardi,minardi
mclaren-mercedes,1999,mercedes,1,mclaren,mclaren
ferrari,1999,ferrari,6,ferrari,ferrari
williams-supertec,1999,supertec,3,williams,williams
jordan-mugen-honda,1999,mugen,17,jordan,jordan
benetton-playlife,1999,playlife,22,benetton,benetton
sauber-petronas,1999,petronas,15,sauber,sauber
arrows,1999,arrows,21,arrows,arrows
stewart-ford,1999,ford,24,stewart,stewart
prost-peugeot,1999,peugeot,20,prost,prost
minardi-ford,1999,ford,18,minardi,minardi
bar-supertec,1999,supertec,16,bar,bar
mclaren-mercedes,2000,mercedes,1,mclaren,mclaren
ferrari,2000,ferrari,6,ferrari,ferrari
jordan-mugen-honda,2000,mugen,17,jordan,jordan
jaguar-cosworth,2000,cosworth,19,jaguar,jaguar
williams-bmw,2000,bmw,3,williams,williams
benetton-playlife,2000,playlife,22,benetton,benetton
prost-peugeot,2000,peugeot,20,prost,prost
sauber-petronas,2000,petronas,15,sauber,sauber
arrows-supertec,2000,supertec,21,arrows,arrows
minardi-fondmetal,2000,fondmetal,18,minardi,minardi
bar-honda,2000,honda,16,bar,bar
ferrari,2001,ferrari,6,ferrari,ferrari
mclaren-mercedes,2001,mercedes,1,mclaren,mclaren
williams-bmw,2001,bmw,3,williams,williams
benetton-renault,2001,renault,22,benetton,benetton
bar-honda,2001,honda,16,bar,bar
jordan-honda,2001,honda,17,jordan,jordan
arrows-asiatech,2001,asiatech,21,arrows,arrows
sauber-petronas,2001,petronas,15,sauber,sauber
jaguar-cosworth,2001,cosworth,19,jaguar,jaguar
minardi-european,2001,european,18,minardi,minardi
prost-acer,2001,acer,20,prost,prost
ferrari,2002,ferrari,6,ferrari,ferrari
mclaren-mercedes,2002,mercedes,1,mclaren,mclaren
williams-bmw,2002,bmw,3,williams,williams
sauber-petronas,2002,petronas,15,sauber,sauber
jordan-honda,2002,honda,17,jordan,jordan
bar-honda,2002,honda,16,bar,bar
renault,2002,renault,4,renault,renault
jaguar-cosworth,2002,cosworth,19,jaguar,jaguar
arrows-cosworth,2002,cosworth,21,arrows,arrows
minardi-asiatech,2002,asiatech,18,minardi,minardi
toyota,2002,toyota,7,toyota,toyota
ferrari,2003,ferrari,6,ferrari,ferrari
williams-bmw,2003,bmw,3,williams,williams
mclaren-mercedes,2003,mercedes,1,mclaren,mclaren
renault,2003,renault,4,renault,renault
sauber-petronas,2003,petronas,15,sauber,sauber
jordan-ford,2003,ford,17,jordan,jordan
jaguar-cosworth,2003,cosworth,19,jaguar,jaguar
bar-honda,2003,honda,16,bar,bar
minardi-cosworth,2003,cosworth,18,minardi,minardi
toyota,2003,toyota,7,toyota,toyota
ferrari,2004,ferrari,6,ferrari,ferrari
williams-bmw,2004,bmw,3,williams,williams
mclaren-mercedes,2004,mercedes,1,mclaren,mclaren
renault,2004,renault,4,renault,renault
